ball-bearing;humidity;vibration
91.626;73.82;18.549
91.622;73.82;18.55
91.618;73.819;18.551
91.614;73.819;18.552
91.61;73.819;18.553
91.607;73.819;18.554
91.603;73.818;18.555
91.599;73.818;18.556
91.595;73.818;18.557
91.591;73.817;18.558
91.587;73.817;18.559
91.583;73.817;18.56
91.58;73.816;18.561
91.576;73.816;18.562
91.572;73.816;18.563
91.568;73.815;18.564
91.564;73.815;18.565
91.56;73.815;18.566
91.556;73.814;18.567
91.553;73.814;18.568
91.549;73.814;18.569
91.545;73.813;18.57
91.541;73.813;18.571
91.537;73.813;18.572
91.533;73.812;18.573
91.529;73.812;18.574
91.526;73.812;18.575
91.522;73.811;18.576
91.518;73.811;18.577
91.514;73.811;18.578
91.51;73.81;18.579
91.506;73.81;18.58
91.502;73.81;18.581
91.498;73.809;18.582
91.495;73.809;18.583
91.491;73.809;18.584
91.487;73.808;18.585
91.483;73.808;18.586
91.479;73.808;18.587
91.475;73.807;18.588
91.471;73.807;18.589
91.468;73.807;18.59
91.464;73.807;18.591
91.46;73.806;18.592
91.456;73.806;18.593
91.452;73.806;18.594
91.448;73.805;18.595
91.444;73.805;18.596
91.441;73.805;18.597
91.437;73.804;18.598
91.433;73.804;18.599
91.429;73.804;18. Jun
91.425;73.803;18.601
91.421;73.803;18.602
91.417;73.803;18.603
91.414;73.802;18.604
91.41;73.802;18.605
91.406;73.802;18.606
91.402;73.801;18.607
91.398;73.801;18.608
91.394;73.801;18.609
91.39;73.8;18.61
91.387;73.8;18.611
91.383;73.8;18.612
91.379;73.799;18.613
91.375;73.799;18.614
91.371;73.799;18.615
91.367;73.798;18.616
91.363;73.798;18.617
91.36;73.798;18.618
91.356;73.797;18.619
91.352;73.797;18.62
91.348;73.797;18.621
91.344;73.796;18.622
91.34;73.796;18.623
91.336;73.796;18.624
91.332;73.796;18.625
91.329;73.795;18.626
91.325;73.795;18.627
91.321;73.795;18.628
91.317;73.794;18.629
91.313;73.794;18.63
91.309;73.794;18.631
91.305;73.793;18.632
91.302;73.793;18.633
91.298;73.793;18.634
91.294;73.792;18.635
91.29;73.792;18.636
91.286;73.792;18.637
91.282;73.791;18.638
91.278;73.791;18.639
91.275;73.791;18.64
91.271;73.79;18.641
91.267;73.79;18.642
91.263;73.79;18.643
91.259;73.789;18.644
91.255;73.789;18.645
91.251;73.789;18.646
91.248;73.788;18.647
91.244;73.788;18.648
91.24;73.788;18.649
91.236;73.787;18.65
91.232;73.787;18.651
91.228;73.787;18.652
91.224;73.786;18.653
91.221;73.786;18.654
91.217;73.786;18.655
91.213;73.785;18.656
91.209;73.785;18.657
91.205;73.785;18.658
91.201;73.784;18.659
91.197;73.784;18.66
91.194;73.784;18.661
91.19;73.784;18.662
91.186;73.783;18.663
91.182;73.783;18.664
91.178;73.783;18.665
91.174;73.782;18.666
91.17;73.782;18.667
91.167;73.782;18.668
91.163;73.781;18.669
91.159;73.781;18.67
91.155;73.781;18.671
91.151;73.78;18.672
91.147;73.78;18.673
91.143;73.78;18.674
91.139;73.779;18.675
91.136;73.779;18.676
91.132;73.779;18.677
91.128;73.778;18.678
91.124;73.778;18.679
91.12;73.778;18.68
91.116;73.777;18.681
91.112;73.777;18.682
91.109;73.777;18.683
91.105;73.776;18.684
91.101;73.776;18.685
91.097;73.776;18.686
91.093;73.775;18.687
91.089;73.775;18.688
91.085;73.775;18.689
91.082;73.774;18.69
91.078;73.774;18.691
91.074;73.774;18.692
91.07;73.773;18.693
91.066;73.773;18.694
91.062;73.773;18.695
91.058;73.772;18.696
91.055;73.772;18.697
91.051;73.772;18.698
91.047;73.772;18.699
91.043;73.771;18. Jul
91.039;73.771;18.701
91.035;73.771;18.702
91.031;73.77;18.703
91.028;73.77;18.704
91.024;73.77;18.705
91.02;73.769;18.706
91.016;73.769;18.707
91.012;73.769;18.708
91.008;73.768;18.709
91.004;73.768;18.71
91.001;73.768;18.711
90.997;73.767;18.712
90.993;73.767;18.713
90.989;73.767;18.714
90.985;73.766;18.715
90.981;73.766;18.716
90.977;73.766;18.717
90.974;73.765;18.718
90.97;73.765;18.719
90.966;73.765;18.72
90.962;73.764;18.721
90.958;73.764;18.722
90.954;73.764;18.723
90.95;73.763;18.724
90.947;73.763;18.725
90.943;73.763;18.726
90.939;73.762;18.727
90.935;73.762;18.728
90.931;73.762;18.729
90.927;73.761;18.73
90.923;73.761;18.731
90.919;73.761;18.732
90.916;73.761;18.733
90.912;73.76;18.734
90.908;73.76;18.735
90.904;73.76;18.736
90.9;73.759;18.737
90.896;73.759;18.738
90.892;73.759;18.739
90.889;73.758;18.74
90.885;73.758;18.741
90.881;73.758;18.742
90.877;73.757;18.743
90.873;73.757;18.744
90.869;73.757;18.745
90.865;73.756;18.746
90.862;73.756;18.747
90.858;73.756;18.748
90.854;73.755;18.749
90.85;73.755;18.75
90.846;73.755;18.751
90.842;73.754;18.752
90.838;73.754;18.753
90.835;73.754;18.754
90.831;73.753;18.755
90.827;73.753;18.756
90.823;73.753;18.757
90.819;73.752;18.758
90.815;73.752;18.759
90.811;73.752;18.76
90.808;73.751;18.761
90.804;73.751;18.762
90.8;73.751;18.763
90.796;73.75;18.764
90.792;73.75;18.765
90.788;73.75;18.766
90.784;73.749;18.767
90.781;73.749;18.768
90.777;73.749;18.769
90.773;73.749;18.77
90.769;73.748;18.771
90.765;73.748;18.772
90.761;73.748;18.773
90.757;73.747;18.774
90.754;73.747;18.775
90.75;73.747;18.776
90.746;73.746;18.777
90.742;73.746;18.778
90.738;73.746;18.779
90.734;73.745;18.78
90.73;73.745;18.781
90.726;73.745;18.782
90.723;73.744;18.783
90.719;73.744;18.784
90.715;73.744;18.785
90.711;73.743;18.786
90.707;73.743;18.787
90.703;73.743;18.788
90.699;73.742;18.789
90.696;73.742;18.79
90.692;73.742;18.791
90.688;73.741;18.792
90.684;73.741;18.793
90.68;73.741;18.794
90.676;73.74;18.795
90.672;73.74;18.796
90.669;73.74;18.797
90.665;73.739;18.798
90.661;73.739;18.799
90.657;73.739;18. Aug
90.653;73.738;18.801
90.649;73.738;18.802
90.645;73.738;18.803
90.642;73.738;18.804
90.638;73.737;18.805
90.634;73.737;18.806
90.63;73.737;18.807
90.626;73.736;18.808
90.622;73.736;18.809
90.618;73.736;18.81
90.615;73.735;18.811
90.611;73.735;18.812
90.607;73.735;18.813
90.603;73.734;18.814
90.599;73.734;18.815
90.595;73.734;18.816
90.591;73.733;18.817
90.588;73.733;18.818
90.584;73.733;18.819
90.58;73.732;18.82
90.576;73.732;18.821
90.572;73.732;18.822
90.568;73.731;18.823
90.564;73.731;18.824
90.56;73.731;18.825
90.557;73.73;18.826
90.553;73.73;18.827
90.549;73.73;18.828
90.545;73.729;18.829
90.541;73.729;18.83
90.537;73.729;18.831
90.533;73.728;18.832
90.53;73.728;18.833
90.526;73.728;18.834
90.522;73.727;18.835
90.518;73.727;18.836
90.514;73.727;18.837
90.51;73.726;18.838
90.506;73.726;18.839
90.503;73.726;18.84
90.499;73.726;18.841
90.495;73.725;18.842
90.491;73.725;18.843
90.487;73.725;18.844
90.483;73.724;18.845
90.479;73.724;18.846
90.476;73.724;18.847
90.472;73.723;18.848
90.468;73.723;18.849
90.464;73.723;18.85
90.46;73.722;18.851
90.456;73.722;18.852
90.452;73.722;18.853
90.449;73.721;18.854
90.445;73.721;18.855
90.441;73.721;18.856
90.437;73.72;18.857
90.433;73.72;18.858
90.429;73.72;18.859
90.425;73.719;18.86
90.422;73.719;18.861
90.418;73.719;18.862
90.414;73.718;18.863
90.41;73.718;18.864
90.406;73.718;18.865
90.402;73.717;18.866
90.398;73.717;18.867
90.395;73.717;18.868
90.391;73.716;18.869
90.387;73.716;18.87
90.383;73.716;18.871
90.379;73.715;18.872
90.375;73.715;18.873
90.371;73.715;18.874
90.368;73.715;18.875
90.364;73.714;18.876
90.36;73.714;18.877
90.356;73.714;18.878
90.352;73.713;18.879
90.348;73.713;18.88
90.344;73.713;18.881
90.34;73.712;18.882
90.337;73.712;18.883
90.333;73.712;18.884
90.329;73.711;18.885
90.325;73.711;18.886
90.321;73.711;18.887
90.317;73.71;18.888
90.313;73.71;18.889
90.31;73.71;18.89
90.306;73.709;18.891
90.302;73.709;18.892
90.298;73.709;18.893
90.294;73.708;18.894
90.29;73.708;18.895
90.286;73.708;18.896
90.283;73.707;18.897
90.279;73.707;18.898
90.275;73.707;18.899
90.271;73.706;18. Sep
90.267;73.706;18.901
90.263;73.706;18.902
90.259;73.705;18.903
90.256;73.705;18.904
90.252;73.705;18.905
90.248;73.704;18.906
90.244;73.704;18.907
90.24;73.704;18.908
90.236;73.703;18.909
90.232;73.703;18.91
90.229;73.703;18.911
90.225;73.703;18.912
90.221;73.702;18.913
90.217;73.702;18.914
90.213;73.702;18.915
90.209;73.701;18.916
90.205;73.701;18.917
90.202;73.701;18.918
90.198;73.7;18.919
90.194;73.7;18.92
90.19;73.7;18.921
90.186;73.699;18.922
90.182;73.699;18.923
90.178;73.699;18.924
90.174;73.698;18.925
90.171;73.698;18.926
90.167;73.698;18.927
90.163;73.697;18.928
90.159;73.697;18.929
90.155;73.697;18.93
90.151;73.696;18.931
90.147;73.696;18.932
90.144;73.696;18.933
90.14;73.695;18.934
90.136;73.695;18.935
90.132;73.695;18.936
90.128;73.694;18.937
90.124;73.694;18.938
90.12;73.694;18.939
90.117;73.693;18.94
90.113;73.693;18.941
90.109;73.693;18.942
90.105;73.692;18.943
90.101;73.692;18.944
90.097;73.692;18.945
90.093;73.691;18.946
90.09;73.691;18.947
90.086;73.691;18.948
90.082;73.691;18.949
90.078;73.69;18.95
90.074;73.69;18.951
90.07;73.69;18.952
90.066;73.689;18.953
90.063;73.689;18.954
90.059;73.689;18.955
90.055;73.688;18.956
90.051;73.688;18.957
90.047;73.688;18.958
90.043;73.687;18.959
90.039;73.687;18.96
90.036;73.687;18.961
90.032;73.686;18.962
90.028;73.686;18.963
90.024;73.686;18.964
90.02;73.685;18.965
90.016;73.685;18.966
90.012;73.685;18.967
90.009;73.684;18.968
90.005;73.684;18.969
90.001;73.684;18.97
89.997;73.683;18.971
89.993;73.683;18.972
89.989;73.683;18.973
89.985;73.682;18.974
89.982;73.682;18.975
89.978;73.682;18.976
89.974;73.681;18.977
89.97;73.681;18.978
89.966;73.681;18.979
89.962;73.68;18.98
89.958;73.68;18.981
89.954;73.68;18.982
89.951;73.68;18.983
89.947;73.679;18.984
89.943;73.679;18.985
89.939;73.679;18.986
89.935;73.678;18.987
89.931;73.678;18.988
89.927;73.678;18.989
89.924;73.677;18.99
89.92;73.677;18.991
89.916;73.677;18.992
89.912;73.676;18.993
89.908;73.676;18.994
89.904;73.676;18.995
89.9;73.675;18.996
89.897;73.675;18.997
89.893;73.675;18.998
89.889;73.674;18.999
89.885;73.674;19
89.881;73.674;19.001
89.877;73.673;19.002
89.873;73.673;19.003
89.87;73.673;19.004
89.866;73.672;19.005
89.862;73.672;19.006
89.858;73.672;19.007
89.854;73.671;19.008
89.85;73.671;19.009
89.846;73.671;19. Jan
89.843;73.67;19.011
89.839;73.67;19.012
89.835;73.67;19.013
89.831;73.669;19.014
89.827;73.669;19.015
89.823;73.669;19.016
89.819;73.668;19.017
89.816;73.668;19.018
89.812;73.668;19.019
89.808;73.668;19. Feb
89.804;73.667;19.021
89.8;73.667;19.022
89.796;73.667;19.023
89.792;73.666;19.024
89.789;73.666;19.025
89.785;73.666;19.026
89.781;73.665;19.027
89.777;73.665;19.028
89.773;73.665;19.029
89.769;73.664;19. Mrz
89.765;73.664;19.031
89.762;73.664;19.032
89.758;73.663;19.033
89.754;73.663;19.034
89.75;73.663;19.035
89.746;73.662;19.036
89.742;73.662;19.037
89.738;73.662;19.038
89.735;73.661;19.039
89.731;73.661;19. Apr
89.727;73.661;19.041
89.723;73.66;19.042
89.719;73.66;19.043
89.715;73.66;19.044
89.711;73.659;19.045
89.708;73.659;19.046
89.704;73.659;19.047
89.7;73.658;19.048
89.696;73.658;19.049
89.692;73.658;19. Mai
89.688;73.657;19.051
89.684;73.657;19.052
89.681;73.657;19.053
89.677;73.657;19.054
89.673;73.656;19.055
89.669;73.656;19.056
89.665;73.656;19.057
89.661;73.655;19.058
89.657;73.655;19.059
89.654;73.655;19. Jun
89.65;73.654;19.061
89.646;73.654;19.062
89.642;73.654;19.063
89.638;73.653;19.064
89.634;73.653;19.065
89.63;73.653;19.066
89.627;73.652;19.067
89.623;73.652;19.068
89.619;73.652;19.069
89.615;73.651;19. Jul
89.611;73.651;19.071
89.607;73.651;19.072
89.603;73.65;19.073
89.6;73.65;19.074
89.596;73.65;19.075
89.592;73.649;19.076
89.588;73.649;19.077
89.584;73.649;19.078
89.58;73.648;19.079
89.576;73.648;19. Aug
89.573;73.648;19.081
89.569;73.647;19.082
89.565;73.647;19.083
89.561;73.647;19.084
89.557;73.646;19.085
89.553;73.646;19.086
89.549;73.646;19.087
89.545;73.645;19.088
89.542;73.645;19.089
89.538;73.645;19. Sep
89.534;73.645;19.091
89.53;73.644;19.092
89.526;73.644;19.093
89.522;73.644;19.094
89.518;73.643;19.095
89.515;73.643;19.096
89.511;73.643;19.097
89.507;73.642;19.098
89.503;73.642;19.099
89.499;73.642;19. Jan
89.495;73.641;19.101
89.491;73.641;19.102
89.488;73.641;19.103
89.484;73.64;19.104
89.48;73.64;19.105
89.476;73.64;19.106
89.472;73.639;19.107
89.468;73.639;19.108
89.464;73.639;19.109
89.461;73.638;19. Nov
89.457;73.638;19.111
89.453;73.638;19.112
89.449;73.637;19.113
89.445;73.637;19.114
89.441;73.637;19.115
89.437;73.636;19.116
89.434;73.636;19.117
89.43;73.636;19.118
89.426;73.635;19.119
89.422;73.635;19. Dez
89.418;73.635;19.121
89.414;73.634;19.122
89.41;73.634;19.123
89.407;73.634;19.124
89.403;73.633;19.125
89.399;73.633;19.126
89.395;73.633;19.127
89.391;73.633;19.128
89.387;73.632;19.129
89.383;73.632;19.13
89.38;73.632;19.131
89.376;73.631;19.132
89.372;73.631;19.133
89.368;73.631;19.134
89.364;73.63;19.135
89.36;73.63;19.136
89.356;73.63;19.137
89.353;73.629;19.138
89.349;73.629;19.139
89.345;73.629;19.14
89.341;73.628;19.141
89.337;73.628;19.142
89.333;73.628;19.143
89.329;73.627;19.144
89.326;73.627;19.145
89.322;73.627;19.146
89.318;73.626;19.147
89.314;73.626;19.148
89.31;73.626;19.149
89.306;73.625;19.15
89.302;73.625;19.151
89.299;73.625;19.152
89.295;73.624;19.153
89.291;73.624;19.154
89.287;73.624;19.155
89.283;73.623;19.156
89.279;73.623;19.157
89.275;73.623;19.158
